"1","AMZN","423.288","367.507","-0.394"
"2","AAPL","125.604","109.050","0.060"
"3","FB","79.147","68.730","-0.048"
"4","GOOG","538.734","467.867","0.394"
"5","YHOO","42.658","37.035","-0.025"
"6","SIRI","3.936","3.416","-0.001"
"7","GE","27.218","23.628","0.017"
"8","S","5.113","4.439","-0.004"
"9","BAC","15.991","13.881","0.011"
"10","MSFT","49.136","42.654","0.003"
"11","AMZN","423.208","367.376","-0.351"
"12","AAPL","125.587","109.026","0.082"
"13","FB","79.149","68.721","-0.043"
"14","GOOG","538.862","467.946","0.434"
"15","YHOO","42.652","37.027","-0.024"
"16","SIRI","3.936","3.417","0.001"
"17","GE","27.211","23.625","0.022"
"18","S","5.113","4.440","-0.005"
"19","BAC","15.986","13.876","0.014"
"20","MSFT","49.127","42.647","0.004"
"21","AMZN","423.093","367.289","-0.309"
"22","AAPL","125.541","108.972","0.085"
"23","FB","79.143","68.707","-0.046"
"24","GOOG","538.898","467.967","0.479"
"25","YHOO","42.642","37.018","-0.027"
"26","SIRI","3.934","3.415","0.002"
"27","GE","27.207","23.622","0.023"
"28","S","5.112","4.439","-0.005"
"29","BAC","15.980","13.872","0.015"
"30","MSFT","49.112","42.634","0.001"
"31","AMZN","422.947","367.167","-0.325"
"32","AAPL","125.492","108.921","0.081"
"33","FB","79.103","68.650","-0.059"
"34","GOOG","538.908","467.927","0.483"
"35","YHOO","42.624","36.999","-0.031"
"36","SIRI","3.932","3.414","0.002"
"37","GE","27.200","23.613","0.021"
"38","S","5.113","4.440","-0.004"
"39","BAC","15.972","13.866","0.015"
"40","MSFT","49.092","42.615","0.000"
"41","AMZN","422.808","367.029","-0.323"
"42","AAPL","125.430","108.879","0.071"
"43","FB","79.057","68.613","-0.069"
"44","GOOG","538.926","467.939","0.469"
"45","YHOO","42.612","36.994","-0.036"
"46","SIRI","3.930","3.410","0.002"
"47","GE","27.190","23.602","0.019"
"48","S","5.112","4.439","-0.002"
"49","BAC","15.965","13.857","0.013"
"50","MSFT","49.074","42.603","0.000"
"51","AMZN","422.668","366.928","-0.383"
"52","AAPL","125.390","108.849","0.039"
"53","FB","79.027","68.597","-0.081"
"54","GOOG","538.884","467.884","0.423"
"55","YHOO","42.603","36.986","-0.040"
"56","SIRI","3.928","3.408","0.001"
"57","GE","27.182","23.594","0.015"
"58","S","5.112","4.438","-0.001"
"59","BAC","15.957","13.849","0.011"
"60","MSFT","49.061","42.587","-0.003"
"61","AMZN","422.644","366.967","-0.433"
"62","AAPL","125.347","108.825","0.019"
"63","FB","78.995","68.578","-0.082"
"64","GOOG","538.802","467.793","0.450"
"65","YHOO","42.595","36.983","-0.042"
"66","SIRI","3.924","3.405","0.000"
"67","GE","27.173","23.589","0.009"
"68","S","5.112","4.439","-0.002"
"69","BAC","15.949","13.843","0.008"
"70","MSFT","49.044","42.576","-0.008"
"71","AMZN","422.586","366.945","-0.415"
"72","AAPL","125.339","108.835","0.006"
"73","FB","78.967","68.567","-0.076"
"74","GOOG","538.697","467.682","0.483"
"75","YHOO","42.587","36.978","-0.041"
