"1","AMZN","424.870","1806032","1806032","4/30/2015","1:55pm"
"2","AAPL","125.670","53693186","53693186","4/30/2015","1:56pm"
"3","FB","79.360","13940076","13940076","4/30/2015","1:56pm"
"4","GOOG","538.350","1079711","1079711","4/30/2015","1:55pm"
"5","YHOO","42.790","6387973","6387973","4/30/2015","1:56pm"
"6","SIRI","3.950","19935958","19935958","4/30/2015","1:56pm"
"7","GE","27.235","24472436","24472436","4/30/2015","1:56pm"
"8","S","5.139","8094279","8094279","4/30/2015","1:56pm"
"9","BAC","15.998","45528727","45528727","4/30/2015","1:56pm"
"10","MSFT","49.190","39871263","39871263","4/30/2015","1:56pm"
"11","AMZN","425.000","1810227","4195","4/30/2015","1:57pm"
"12","AAPL","125.730","53849407","156221","4/30/2015","1:57pm"
"13","FB","79.380","13962346","22270","4/30/2015","1:57pm"
"14","GOOG","538.530","1081083","1372","4/30/2015","1:57pm"
"15","YHOO","42.795","6411400","23427","4/30/2015","1:57pm"
"16","SIRI","3.950","19943273","7315","4/30/2015","1:57pm"
"17","GE","27.250","24502080","29644","4/30/2015","1:57pm"
"18","S","5.130","8094999","720","4/30/2015","1:57pm"
"19","BAC","15.995","45590763","62036","4/30/2015","1:57pm"
"20","MSFT","49.190","39877009","5746","4/30/2015","1:57pm"
"21","AMZN","424.914","1814286","4059","4/30/2015","1:58pm"
"22","AAPL","125.740","53983761","134354","4/30/2015","1:58pm"
"23","FB","79.390","13990574","28228","4/30/2015","1:58pm"
"24","GOOG","538.900","1082436","1353","4/30/2015","1:58pm"
"25","YHOO","42.820","6421969","10569","4/30/2015","1:58pm"
"26","SIRI","3.940","19953757","10484","4/30/2015","1:58pm"
"27","GE","27.250","24515358","13278","4/30/2015","1:58pm"
"28","S","5.140","8097299","2300","4/30/2015","1:58pm"
"29","BAC","16.000","45613867","23104","4/30/2015","1:58pm"
"30","MSFT","49.200","39987447","110438","4/30/2015","1:58pm"
"31","AMZN","425.000","1817608","3322","4/30/2015","1:59pm"
"32","AAPL","125.670","54056513","72752","4/30/2015","1:59pm"
"33","FB","79.360","14014160","23586","4/30/2015","1:59pm"
"34","GOOG","538.860","1088317","5881","4/30/2015","1:59pm"
"35","YHOO","42.800","6442476","20507","4/30/2015","1:59pm"
"36","SIRI","3.950","19984610","30853","4/30/2015","1:59pm"
"37","GE","27.240","24568056","52698","4/30/2015","1:59pm"
"38","S","5.130","8129175","31876","4/30/2015","1:59pm"
"39","BAC","16.000","45683030","69163","4/30/2015","1:59pm"
"40","MSFT","49.190","40051891","64444","4/30/2015","1:59pm"
"41","AMZN","424.780","1822440","4832","4/30/2015","2:00pm"
"42","AAPL","125.640","54159412","102899","4/30/2015","2:00pm"
"43","FB","79.340","14039022","24862","4/30/2015","2:00pm"
"44","GOOG","539.000","1093174","4857","4/30/2015","2:00pm"
"45","YHOO","42.791","6459664","17188","4/30/2015","2:00pm"
"46","SIRI","3.940","20666081","681471","4/30/2015","2:00pm"
"47","GE","27.230","24620344","52288","4/30/2015","2:00pm"
"48","S","5.130","8134805","5630","4/30/2015","2:00pm"
"49","BAC","15.994","45904321","221291","4/30/2015","2:00pm"
"50","MSFT","49.200","40118567","66676","4/30/2015","2:00pm"
"51","AMZN","424.480","1826818","4378","4/30/2015","2:01pm"
"52","AAPL","125.579","54273335","113923","4/30/2015","2:01pm"
"53","FB","79.310","14103692","64670","4/30/2015","2:01pm"
"54","GOOG","538.580","1094342","1168","4/30/2015","2:01pm"
"55","YHOO","42.790","6488935","29271","4/30/2015","2:01pm"
"56","SIRI","3.940","20669649","3568","4/30/2015","2:01pm"
"57","GE","27.205","24697218","76874","4/30/2015","2:01pm"
"58","S","5.120","8138105","3300","4/30/2015","2:01pm"
"59","BAC","15.985","46231900","327579","4/30/2015","2:01pm"
"60","MSFT","49.180","40253526","134959","4/30/2015","2:01pm"
"61","AMZN","424.310","1830451","3633","4/30/2015","2:02pm"
"62","AAPL","125.630","54332742","59407","4/30/2015","2:02pm"
"63","FB","79.345","14154097","50405","4/30/2015","2:02pm"
"64","GOOG","538.380","1096186","1844","4/30/2015","2:02pm"
"65","YHOO","42.780","6498823","9888","4/30/2015","2:02pm"
"66","SIRI","3.940","20676927","7278","4/30/2015","2:02pm"
"67","GE","27.210","24708144","10926","4/30/2015","2:02pm"
"68","S","5.125","8274371","136266","4/30/2015","2:02pm"
"69","BAC","15.980","46258954","27054","4/30/2015","2:02pm"
"70","MSFT","49.170","40268683","15157","4/30/2015","2:02pm"
"71","AMZN","424.465","1831532","1081","4/30/2015","2:03pm"
"72","AAPL","125.610","54393756","61014","4/30/2015","2:03pm"
"73","FB","79.350","14179676","25579","4/30/2015","2:03pm"
"74","GOOG","538.180","1097579","1393","4/30/2015","2:03pm"
"75","YHOO","42.780","6516833","18010","4/30/2015","2:03pm"
"76","SIRI","3.940","20701701","24774","4/30/2015","2:03pm"
"77","GE","27.205","24725105","16961","4/30/2015","2:03pm"
"78","S","5.120","8280371","6000","4/30/2015","2:03pm"
"79","BAC","15.985","46282508","23554","4/30/2015","2:03pm"
"80","MSFT","49.150","40301678","32995","4/30/2015","2:03pm"
"81","AMZN","424.383","1834924","3392","4/30/2015","2:04pm"
"82","AAPL","125.571","54462141","68385","4/30/2015","2:04pm"
"83","FB","79.300","14200527","20851","4/30/2015","2:04pm"
"84","GOOG","538.250","1098073","494","4/30/2015","2:04pm"
"85","YHOO","42.750","6524265","7432","4/30/2015","2:04pm"
"86","SIRI","3.940","20707125","5424","4/30/2015","2:04pm"
"87","GE","27.200","24770143","45038","4/30/2015","2:04pm"
"88","S","5.125","8292271","11900","4/30/2015","2:04pm"
"89","BAC","15.980","46438674","156166","4/30/2015","2:04pm"
"90","MSFT","49.170","40425418","123740","4/30/2015","2:04pm"
"91","AMZN","424.360","1839044","4120","4/30/2015","2:05pm"
"92","AAPL","125.590","54574278","112137","4/30/2015","2:05pm"
"93","FB","79.341","14225744","25217","4/30/2015","2:05pm"
"94","GOOG","538.270","1104891","6818","4/30/2015","2:05pm"
"95","YHOO","42.770","6642781","118516","4/30/2015","2:05pm"
"96","SIRI","3.940","20736119","28994","4/30/2015","2:05pm"
"97","GE","27.205","24818359","48216","4/30/2015","2:05pm"
"98","S","5.120","8300971","8700","4/30/2015","2:05pm"
"99","BAC","15.975","46527234","88560","4/30/2015","2:05pm"
"100","MSFT","49.160","40466564","41146","4/30/2015","2:05pm"
"101","AMZN","424.413","1855321","16277","4/30/2015","2:06pm"
"102","AAPL","125.645","54696831","122553","4/30/2015","2:06pm"
"103","FB","79.323","14260382","34638","4/30/2015","2:06pm"
"104","GOOG","538.260","1111176","6285","4/30/2015","2:06pm"
"105","YHOO","42.740","6666569","23788","4/30/2015","2:06pm"
"106","SIRI","3.940","20747681","11562","4/30/2015","2:06pm"
